Step 130: Action: [0.5176248], Reward: -1
Step 131: Action: [0.], Reward: 0.9666666666666667
Step 132: Action: [0.], Reward: 0.9923128205128205
Step 133: Action: [0.], Reward: 0.9797692307692307
Step 134: Action: [0.], Reward: 0.9795384615384616
Step 135: Action: [0.], Reward: 0.7564102564102564
Step 136: Action: [0.], Reward: 0.9628205128205128
Step 137: Action: [0.], Reward: 0.9564153846153847
Step 138: Action: [0.], Reward: 0.9698051282051282
Step 139: Action: [0.], Reward: 0.9333333333333333
Step 140: Action: [0.], Reward: 0.9335897435897436
Step 141: Action: [0.], Reward: -1
Step 142: Action: [0.], Reward: 0.9756435897435898
Step 143: Action: [0.52095413], Reward: -1
Step 144: Action: [0.], Reward: 0.858974358974359
Step 145: Action: [0.5189898], Reward: -1
Step 146: Action: [0.], Reward: 0.9358974358974359
Step 147: Action: [0.], Reward: 0.9602564102564103
Step 148: Action: [0.], Reward: 0.9815897435897436
Step 149: Action: [0.], Reward: 0.9692820512820512
Step 150: Action: [0.51924324], Reward: -1
Step 151: Action: [0.], Reward: 0.9884615384615385
Step 152: Action: [0.], Reward: 0.9154461538461538
Step 153: Action: [0.], Reward: 0.980051282051282
Step 154: Action: [0.], Reward: 0.9817948717948718
Step 155: Action: [0.5197225], Reward: -1
Step 156: Action: [0.], Reward: 0.9436410256410257
Step 157: Action: [0.], Reward: 0.9682564102564103
Step 158: Action: [0.5211672], Reward: 0.9165329413536263
Step 159: Action: [0.], Reward: 0.9871794871794872
Step 160: Action: [0.], Reward: 0.9659025641025641
Step 161: Action: [0.], Reward: 0.9889230769230769
Step 162: Action: [0.], Reward: 0.9576923076923077
Step 163: Action: [0.], Reward: 0.958974358974359
Step 164: Action: [0.], Reward: 0.9756410256410256
Step 165: Action: [0.], Reward: 0.9718
Step 166: Action: [0.], Reward: 0.9631282051282052
Step 167: Action: [0.], Reward: 0.948974358974359
Step 168: Action: [0.51865506], Reward: -1
Step 169: Action: [0.], Reward: 0.9692358974358974
Step 170: Action: [0.], Reward: 0.9751333333333333
Step 171: Action: [0.], Reward: 0.9788461538461538
Step 172: Action: [0.5183964], Reward: -1
Step 173: Action: [0.], Reward: 0.6410256410256411
Step 174: Action: [0.], Reward: 0.9725717948717949
Step 175: Action: [0.], Reward: 0.9612820512820512
Step 176: Action: [0.], Reward: 0.980051282051282
Step 177: Action: [0.], Reward: -1
Step 178: Action: [0.51872444], Reward: -1
Step 179: Action: [0.], Reward: 0.9687179487179487
Step 180: Action: [0.], Reward: 0.9666666666666667
Step 181: Action: [0.], Reward: 0.963076923076923
Step 182: Action: [0.51998764], Reward: -1
Step 183: Action: [0.], Reward: 0.7182051282051283
Step 184: Action: [0.], Reward: 0.9759025641025642
Step 185: Action: [0.5196451], Reward: -1
Step 186: Action: [0.52002805], Reward: -1
Step 187: Action: [0.], Reward: 0.94
Step 188: Action: [0.51836824], Reward: -1
Step 189: Action: [0.51976687], Reward: -1
Step 190: Action: [0.52230453], Reward: -1
Step 191: Action: [0.], Reward: 0.948974358974359
Step 192: Action: [0.51941305], Reward: -1
Step 193: Action: [0.], Reward: 0.9128717948717948
Step 194: Action: [0.5197891], Reward: -1
Step 195: Action: [0.], Reward: -1
Step 196: Action: [0.5173366], Reward: -1
Step 197: Action: [0.], Reward: 0.9076923076923077
Step 198: Action: [0.51977396], Reward: -1
Step 199: Action: [0.], Reward: 0.959025641025641
Step 200: Action: [0.5206623], Reward: -1
Step 201: Action: [0.], Reward: 0.848974358974359
Step 202: Action: [0.], Reward: 0.9641538461538461
Step 203: Action: [0.], Reward: 0.9933846153846154
Step 204: Action: [0.5193814], Reward: -1
Step 205: Action: [0.], Reward: 0.831025641025641
Step 206: Action: [0.5181081], Reward: -1
Step 207: Action: [0.5206775], Reward: -1
Step 208: Action: [0.51874375], Reward: -1
Step 209: Action: [0.], Reward: 0.9794923076923077
Step 210: Action: [0.5176119], Reward: -1
Step 211: Action: [0.], Reward: 0.8976923076923077
Step 212: Action: [0.], Reward: 0.9692307692307692
Step 213: Action: [0.], Reward: 0.8974871794871795
Step 214: Action: [0.520123], Reward: -1
Step 215: Action: [0.51801056], Reward: -1
Step 216: Action: [0.], Reward: 0.9774461538461539
Step 217: Action: [0.], Reward: 0.9794876923076923
Step 218: Action: [0.5183531], Reward: -1
Step 219: Action: [0.], Reward: 0.9738461538461538
Step 220: Action: [0.], Reward: 0.9877435897435898
Step 221: Action: [0.], Reward: 0.9872307692307692
Step 222: Action: [0.5198585], Reward: -1
Step 223: Action: [0.], Reward: 0.9658974358974359
Step 224: Action: [0.], Reward: 0.9733333333333334
Step 225: Action: [0.], Reward: 0.9385128205128205
Step 226: Action: [0.], Reward: 0.9785128205128205
Step 227: Action: [0.5194003], Reward: -1
Step 228: Action: [0.], Reward: 0.9371794871794872
Step 229: Action: [0.], Reward: 0.9774871794871794
Step 230: Action: [0.5194513], Reward: -1
Step 231: Action: [0.], Reward: 0.9800005128205128
Step 232: Action: [0.], Reward: 0.9902564102564102
Step 233: Action: [0.], Reward: -1
Step 234: Action: [0.51774865], Reward: -1
Step 235: Action: [0.], Reward: 0.9746153846153847
Step 236: Action: [0.5217209], Reward: -1
Step 237: Action: [0.], Reward: 0.8974416410256411
Step 238: Action: [0.5193425], Reward: -1
Step 239: Action: [0.], Reward: 0.7692307692307692
Step 240: Action: [0.], Reward: 0.9815384615384616
Step 241: Action: [0.], Reward: 0.9513333333333334
Step 242: Action: [0.], Reward: -1
Step 243: Action: [0.5209691], Reward: -1
Step 244: Action: [0.], Reward: 0.8566666666666667
Step 245: Action: [0.], Reward: -1
Step 246: Action: [0.], Reward: 0.8774358974358974
